date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Forex rate,Bank loan rate,economic policies,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,86,0,16,0,19,51,43,22,0,54,0,77,0,0,21,0,99,31,0,0,89,64,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,51,20,18,52,27
2012-02-01,100,0,17,0,13,0,41,0,0,59,0,91,0,0,21,0,100,33,0,0,78,80,0,27,0,31,0,100,0,0,0,0,0,0,0,0,0,0,0,47,0,10,45,28
2012-03-01,68,0,17,0,20,53,39,19,0,56,0,100,0,0,20,28,97,27,0,0,69,59,0,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,46,34,28,70,30
2012-04-01,72,0,22,0,17,47,40,15,0,51,0,68,0,0,30,46,89,27,0,0,77,58,0,27,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,37,79,27
2012-05-01,71,0,20,0,11,46,39,0,0,45,0,66,0,0,31,0,87,22,0,0,81,69,0,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,49,76,40,83,26
2012-06-01,72,0,19,0,23,61,39,25,0,51,0,56,0,0,28,30,88,27,0,57,95,68,0,24,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,51,100,43,83,25
2012-07-01,91,0,24,0,11,62,39,24,0,54,0,52,0,0,26,29,81,27,0,0,100,66,0,26,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,25,58,31
2012-08-01,72,0,20,0,18,57,37,19,0,59,0,52,0,0,25,27,93,30,0,0,98,71,0,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,26,70,34
2012-09-01,71,0,22,0,17,71,40,27,0,57,0,49,0,0,26,0,90,26,0,0,77,64,0,27,0,37,0,0,0,0,0,0,0,0,0,100,0,0,0,44,37,20,64,27
2012-10-01,60,0,21,0,16,64,35,19,0,59,0,43,0,0,23,0,84,25,0,0,56,61,0,26,0,34,0,47,0,0,0,0,0,0,0,0,0,0,0,47,48,25,70,38
2012-11-01,58,0,20,0,0,71,33,21,0,68,0,45,0,0,23,0,85,24,0,0,58,64,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,32,72,29
2012-12-01,67,0,19,0,10,32,30,18,0,60,0,56,0,0,25,0,78,25,0,0,51,71,0,26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,21,46,27
2013-01-01,65,0,19,0,12,58,45,22,0,59,0,43,0,0,24,40,86,28,0,0,88,67,0,29,0,27,0,46,0,0,0,0,0,0,0,0,0,0,0,49,7,10,41,32
2013-02-01,65,0,22,0,17,60,41,20,0,61,0,38,0,0,23,0,90,30,0,0,64,82,0,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,10,40,30
2013-03-01,57,0,21,0,20,61,35,22,0,59,0,37,0,0,25,0,87,25,0,48,53,60,0,28,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,43,37,26,68,33
2013-04-01,55,0,19,0,15,29,34,23,0,64,0,36,0,0,25,49,82,27,0,0,54,58,0,27,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,55,46,42,83,31
2013-05-01,59,0,19,0,18,54,33,20,0,57,0,37,0,0,26,33,79,27,0,41,70,69,0,27,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,53,64,37,78,27
2013-06-01,56,0,21,0,21,64,33,29,0,54,0,30,0,0,25,20,80,26,0,0,86,62,0,27,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,52,61,31,73,26
